Item ID,Product Name,Category,Quantity,Price ($),Expiry Date,Supplier ID
101,Ubrelvy,Analgesic,50.0,2.5,12/31/2025,S001
102,Ultracet,Analgesic (combines acetaminophen & tramadol),30.0,5.0,01/15/2026,S002
103,Tecentriq,Cancer Immunotherapy (Anti-cancer),100.0,1.8,01/06/2025,S002
104,Quercetin,Supplement (Antioxidant),200.0,3.2,11/30/2024,S001
105,Norepinephrine,Vasopressor (Used in shock management),70.0,4.5,08/15/2024,S005
106,Norflex,Muscle Relaxant (Pain management),30.0,5.0,01/15/2026,S001
107,Magnesium oxide,Antacid/Supplement,100.0,1.8,11/30/2024,S003
108,Epoetin alfa,Hematologic Drug (Erythropoiesis Stimulating Agent),1000.0,9.475,01/06/2025,S004
111,Diovan,Antihypertensive (Blood pressure),1410.0,6.0,11/30/2024,S005
112,Calcium carbonate,Antacid/Supplement (Calcium supplement),1410.0,9.475,08/15/2024,S001
113,Avonex,Immunomodulator (Multiple Sclerosis),1410.0,8.0,01/15/2026,S002
